title,url,is_process
收入高也焦虑！,https://mp.weixin.qq.com/s/ubkCrgjeCpiD7sjYQIBx6Q,1
实践出真知！,https://mp.weixin.qq.com/s/4AyF2yOHKCtlCpJYyHZV2g,1
急！还缺230万！,https://mp.weixin.qq.com/s/eUv8n48dZzokTx5RwALZIw,1
字节跳动到底有多缺人？,https://mp.weixin.qq.com/s/6JnRjvkZUB4V9HuepLe9Qg,1
“我工资3000，靠短视频月入3万”！,https://mp.weixin.qq.com/s/LhkQy_r6fhmJjUEb2wD8Pg,1
2021年，字节跳动疯狂扩招3000人，看到要求我傻眼了！,https://qnmlgb.tech/articles/607128a5a573cd0067d0dca3/,1
为什么 Django 框架持续统治着 Python 开发？,https://mp.weixin.qq.com/s/LYMlUojYMDZJ9pjzV37cWw,1
2021年，字节跳动月薪50k招高级运营，这个要求过分吗？,https://mp.weixin.qq.com/s/x5W9iOrvlBH6AWYV0ZTUKA,1
推荐一个CV神器！,https://toutiao.io/posts/l3mudlq/preview,1
字节跳动月薪6万招运营，看到要求我傻眼了！,https://mp.weixin.qq.com/s/LYvutGiYqHgpV3SZ12b9ZQ,1
字节跳动月薪5万招产品经理，看到要求我傻眼了！,https://mp.weixin.qq.com/s/cK4FndRJH_w9qJh6Bv6xBw,1
字节跳动月薪50k招高级运营，看到要求我傻眼了！,https://mp.weixin.qq.com/s/wL7mJFBdyf59HUyGwcUWHg,1
没有X生活的女人，都很穷,https://www.163.com/dy/article/FQFC7UHF0516JCVA.html,1
字节跳动月薪3万招的岗位，看到要求我傻眼了！,https://mp.weixin.qq.com/s/KqUuSJfANv9dICOOMH0RaQ,1
升级版《走遍美国》78集，每天抽空看5分钟，英语水平赶超9成中国人！,https://www.sohu.com/a/461428719_122887,1
面试题：谈谈Vue和React的区别？,https://mp.weixin.qq.com/s/15HcPt1U48v6DhLAL3SZIg,1
4 轮拿下腾讯Offer！,https://toutiao.io/posts/q17nyxj/preview,1
字节 Offer月薪 45k，爽！,https://jishuin.proginn.com/p/763bfbd55bbf,1
字节月薪6万招B端产品经理，看到要求我傻眼了！,https://www.shangyexinzhi.com/article/3575724.html,1
升级版《走遍美国》78集，每天抽空看5分钟，英语水平赶超9成中国人！（内附资源）,https://mp.weixin.qq.com/s/5fzczrl27_uReEgEnrnCLg,1
刚刚！字节跳动启动史上最大规模扩招，急缺这类产品经理！,https://www.shangyexinzhi.com/article/3438305.html,1
4轮面试拿下阿里 offer，我必须吹爆这份 RocketMQ 笔记！,https://mp.weixin.qq.com/s/VxH7Ek4O3-YhG_Vgz1sdtA,1
你多久没有性生活了,http://www.yidianzixun.com/article/0OVkKSXg,1
面试官：谈谈vue 和 React的区别及选型考虑,https://toutiao.io/posts/7vb0y3j/preview,1
"这个买房忠告,你一定要听",https://mp.weixin.qq.com/s/HQJAF4KfgsO_uyxCYl8R7g,1
我想涨工资,https://mp.weixin.qq.com/s/iPtmCjLQ5fnSUaZlMQhb2A,1
字节跳动月薪 5 万招运营，看到要求我傻眼了,https://mp.weixin.qq.com/s/hYaSFqWIvpQuIxAi1cg1Pw,1
给想进大厂的朋友一条忠告！,https://www.163.com/dy/article/G5AKMHR40531NE9D.html,1
人均月薪6万起，网友：酸！,https://jishuin.proginn.com/p/763bfbd3bd5f,1
28岁华为员工工资表曝光，牛逼的人注定会牛逼,https://matpool.com/blog/605e91a6505b8f0011af5086/,1
4轮拿下字节 Offer，月资45k，我吹爆这份笔记,https://www.sohu.com/a/456014502_465221,1
那些在一个公司死磕了5-10年的人，最后都怎么样了？,https://www.21ic.com/article/889768.html,1
面试官：谈谈vue 和 React的异同点,https://jishuin.proginn.com/p/763bfbd549cb,1
毕业4年，我用睡后收入买了两套房,https://baijiahao.baidu.com/s?id=1678185405356350889&wfr=spider&for=pc,1
头发越洗越油？因为你一直在无效洗头,https://mp.weixin.qq.com/s/QyucRNz-QlgwxYumRMfrHw,1
从财务自由说起,https://mp.weixin.qq.com/s/jMoeDZNkJon3MhNZ82dHjA,1
赚了赚了！,https://mp.weixin.qq.com/s/EpKm0kj7AsouewBZAkoj7w,1
没有性生活的女人，都很穷？！,https://www.163.com/dy/article/FQFC7UHF0516JCVA.html,1
清华牛人是怎么玩数据分析的？,https://www.sohu.com/a/459948244_355140,1
能做对这道算法题的人，最后都去了脸书！,https://jishuin.proginn.com/p/763bfbd55653,1
人脸识别，凉了？,https://toutiao.io/posts/w7956wx/preview,1
跟你说个笑话，我毕业二年了，天天人肉提数...,https://matpool.com/blog/606e63ab505b8f0011af5d82/,1
B站疯传，堪称最强，一套Python数据分析资源，白拿不谢！,https://matpool.com/blog/605162b2505b8f0011af455a/,1
80w年薪入职阿里，Node.js必须引起重视了,https://www.sohu.com/a/459396001_465223,1
哥们别闹，你离资深前端还远着呢,https://www.wwwbuild.net/webchairman/5514.html,1
学了这么久Python，竟然还没有搞清楚这件事……？！,https://mp.weixin.qq.com/s/VhoRl9ispyAJCFnf9244Uw,1
刚刚！字节跳动启动史上最大规模扩招，急缺这类Python人才！,https://www.sohu.com/a/459331454_99900551,1
基金为何暴跌，教你用Python揭穿其中奥秘！,https://toutiao.io/posts/qsx30p4/preview,1
收到字节 Offer，月薪 45k，爽！,https://jishuin.proginn.com/p/763bfbd54d15,1
太火了！5 天面试了 10 家公司，都在问 Vue3.0+Typescript,https://mp.weixin.qq.com/s/mFVHerDsCx7W_ORdmxJNng,1
马云为什么说数据分析师会消失？,https://jishuin.proginn.com/p/763bfbd33044,1
为什么我不建议你给领导回复“收到”？,https://www.sohu.com/a/459860651_308518,1
升级版《走遍美国》78 集，有人说每天抽空看 5 分钟，英语水平赶超 9 成中国人,https://mp.weixin.qq.com/s/D-las20I8POTmWNaXradhw,1
跳槽大厂数分岗位，需要准备什么？,https://mp.weixin.qq.com/s/sBFYYxRZCuJYt1PaN3X-fQ,1
5 年前红到发紫的中台，今天果实只剩数据中台？阿里专家：吸取教训！,https://www.shangyexinzhi.com/article/3532196.html,1
推荐一位在BAT大厂工作的技术+美女双料博主,https://blog.csdn.net/chengjun_java/article/details/115388334,1
认知水平越低的人，越喜欢回复“收到”,https://jishuin.proginn.com/p/763bfbd56883,1
这些springboot项目真牛逼【视频+源码】【开源】【白嫖】,https://mp.weixin.qq.com/s/DAsG7TKbsd7jtm3V841FQQ,1
一份来自阿里P9的职场晋升指南,https://mp.weixin.qq.com/s/u1yQncljBgG8ST2NOvn8_Q,1
90后是如何一边还房贷，一边理财的？,https://mp.weixin.qq.com/s/wDiwVSw6RWWGhw2PgybZAg,1
普通人搞一百万有多难？,https://tech.yiewan.com/news-id-32257.html,1
深度学习新贵？经验不限，月薪可达6万！,https://mp.weixin.qq.com/s/IVAoEJiZyPCmnsWjjtWPzw,1
活久见，自己创造的框架竟然比开源的好用,https://mp.weixin.qq.com/s/xVWxRnHucRI5b0DU4EFrjA,1
2021大数据开发面试高频100题最新汇总（附答案详解）,https://www.sohu.com/a/460099199_355140,1
干了5年程序员，我竟然遭遇到了“招聘暴力”！,https://mp.weixin.qq.com/s/oSyIoOmX6MDaJMMcCrxfNA,1
都是技术出身，可昨晚我看了张一鸣的微博后，让我越想越后怕...,https://mp.weixin.qq.com/s/f_skx2CF1nRSDA0UDU0fJg,1
年入百万有多难？又该如何年入百万,https://mp.weixin.qq.com/s/OuXx4OJ6thaEoQMIztQ18w,1
为什么领导不喜欢提拔老实人？这是我听过最醍醐灌顶的回答,https://mp.weixin.qq.com/s/nAni2OxpGEguOE3Y6BkDAg,1
亏成狗了怎么办,https://mp.weixin.qq.com/s/t1p8nje4hQVRh0cUtnmbPg,1
想抄底怎么办？,https://mp.weixin.qq.com/s/jo741KZoEZvJNPkHrTKgzw,1
2021大数据开发面试高频100题最新汇总（附答案详解） ｜ 极客大学,https://mp.weixin.qq.com/s/KDXzysX4njLLjzovJf5EyA,1
算法不重要？你去大厂试试！,https://blog.csdn.net/weixin_42232219/article/details/113787410,1
抢钱的时代，真没功夫磨磨唧唧,https://www.163.com/dy/article/G7DAR2200519DP0A.html,1
35岁，转行AI年薪100万，牛逼的人生无需解释,https://mp.weixin.qq.com/s/x1M02O0DPdpN26zBeecOmQ,1
为什么那些年薪百万的架构师总免不了在微服务上栽跟头？,https://mp.weixin.qq.com/s/f8QZfpzNYP3TPF62GgyjJg,1
97年女孩做兼职，一年存了30万：有本事赚钱的人，都懂这一点,https://www.sohu.com/a/459475288_370762,1
字节跳动再扩招 10000 人，看到要求傻眼了,https://qnmlgb.tech/articles/607128a5a573cd0067d0dca3/,1
推荐一个论文复现神器！,https://mp.weixin.qq.com/s/Ylv0X93yUF5R0ObOeceBaA,1
当你提问的时候，你在想什么？,https://mp.weixin.qq.com/s/RWO0xF6zKBJ6y_ClYaDLXg,1
腾讯年薪50W招产品经理，看到要求我傻眼了,https://mp.weixin.qq.com/s/tECcrhZTry0VqZiQuxu3ew,1
字节跳动再扩招1000人，招聘要求让人窒息！,https://mp.weixin.qq.com/s/9xb3ug9e64ot-MT2MhvFPA,1
年入百万的朋友为什么都聚到这里？,https://mp.weixin.qq.com/s/Qo98oGUAmFiQ9jNuhrykLQ,1
不论跳不跳槽，简历越早写上这个，越稳！！！,https://mp.weixin.qq.com/s/5zCdLh236iXd-MBtqP0gZA,1
闲鱼99元买的大数据手记，靠谱！,https://mp.weixin.qq.com/s/E7vqLOnYeTziJuQH6JpviA,1
笑死，现在还真是什么人都敢当程序员了,https://mp.weixin.qq.com/s/2__F4wt52nAgcJoqSXE6LQ,1
Kafka淘汰倒计时！大数据人必备的新一代消息平台，彻底火了？,https://mp.weixin.qq.com/s/kD5hmLda6SsS5noyWjXyeQ,1
说实话Netty真的挺难的！,https://mp.weixin.qq.com/s/5xdXuTmMQCr3cmN6a-7Hvw,1
死磕FB大佬算法“标答”，一个月上岸Google！,https://mp.weixin.qq.com/s/uiP6gsKN9eTSAAZinDXaKA,1
知乎热榜：程序员达到什么水平能拿到20k月薪,https://mp.weixin.qq.com/s/t4GmWoLPb5ahbmRHYhDIKg,1
"阿里 P9 揭秘职场晋升""潜规则""",https://mp.weixin.qq.com/s/3hpZy1I8zF4pzdqHwesRbQ,1
赚的那点钱算个毛啊！,https://mp.weixin.qq.com/s/1m5C7htnyzGGWO-UwIfA1g,1
字节面试官：惊了，面试100个实习生，清一色的学PyTorch...,https://mp.weixin.qq.com/s/kN7GU-4TwrUGOFXFKuqfrA,1
4个写进简历的京东AI项目实战,https://mp.weixin.qq.com/s/jVjMvaDCNBlz2WZlLNILsg,1
给大家整理的93家大厂面试真题，校招社招都有,https://mp.weixin.qq.com/s/i9ubrSxkRldmZSXy9txUKA,1
晋升 Leader 后，99% 的程序员还不懂怎么面试别人！,https://mp.weixin.qq.com/s/1bNPkPFUafCsn7KdkCrYFA,1
三流面试问技术，二流面试问平台，一流面试……,https://mp.weixin.qq.com/s/2pCMzJFRMC02eE6yBX7Khw,1
35岁，没有公司会为你的阅历买单,https://mp.weixin.qq.com/s/qC13ORaJo6zXhhuVK-I1Nw,1
有了这个迹象，你就该辞职了,https://mp.weixin.qq.com/s/AkOXt95bIp-TJC3-_UcH0Q,1
普通人如何快速赚到100万？,https://mp.weixin.qq.com/s/vHCD-X8LKJfWtUhQImEHXA,1
算法学的这么差，你别毕业了,https://mp.weixin.qq.com/s/SVHS4eJ_Pvvs-RD-cfM9Dg,1
你为什么会被算法猜中心思？,https://mp.weixin.qq.com/s/Tll88nDlS30OS27d9xHJtg,1
学好设计模式，拒绝做 CRUD boy,https://mp.weixin.qq.com/s/TnpV_RiR3dQT_t4TtkKwQQ,1
跌了20%，心痛,https://mp.weixin.qq.com/s/HFQVB9VmXa1Xpx2yWXJYcQ,1
软件设计没做好，让你多加了多少冤枉班！,https://mp.weixin.qq.com/s/kjfnQxtM0c-7rbS1-g0fvw,1
普通人的机会在哪里？,https://mp.weixin.qq.com/s/g7KVuuPtO1Xt2gi4XcRnUg,1
如果你还在CRUD，你应该试试刻意练习了 ｜ 极客时间,https://mp.weixin.qq.com/s/0bwlR5pogvc11vaYrV6OaQ,1
五月抽奖：送小米打印机、白描会员,https://mp.weixin.qq.com/s/Ytq_ERcgmyWgg6x5tLiznw,1
架构师是怎样炼成的？,https://mp.weixin.qq.com/s/_8Y_riGl-RRrclJfay6uRQ,1
炒币不是未来,https://mp.weixin.qq.com/s/GG8h0IupWNMc8XTEBFbbXA,1
字节跳动终面：35K，18薪，什么时候能入职？,https://mp.weixin.qq.com/s/lfX-2uDEKGW9Ggm4a2wRHA,1
我们这只有工资的穷人啊,https://mp.weixin.qq.com/s/LKaYM7f7W4DXw7gnQxToKQ,1
有了这个迹象，你就该辞职了！,https://mp.weixin.qq.com/s/yFsin1g6F2EYoDQbGqwqHg,1
珍藏已久,https://mp.weixin.qq.com/s/kMoytlMnWYZp5pTeuVDNpA,1
肝了3天！如何设计实现一个通用的微服务架构？,https://mp.weixin.qq.com/s/RJPLZJXGwNbUgj3vihxfjw,1
吾爱免费神器！务必低调使用！,https://mp.weixin.qq.com/s/Z0bdeOjqz6I1q_jEyK-ADA,1
万万没想到。。,https://mp.weixin.qq.com/s/SpKgd7uQ18Cm7WS-3jqiBQ,1
4个可以写进简历的京东 NLP 项目实战,https://mp.weixin.qq.com/s/O4TZD7eimNQnXwEVrQP6Jw,1
又一本 Go 语言力作出版了,https://mp.weixin.qq.com/s/A9dRNhrKVU1mBKMBFOpung,1
分享几个业内技术大佬的秘笈,https://mp.weixin.qq.com/s/puFKQnnjAM7xMmkYXj6hig,1
有点慌，押中计算机考研专业课考题了。。。,https://mp.weixin.qq.com/s/C2gX9q27uprWma9RWbF70Q,1
刚刚，微信官宣1000W个微信红包封面，速度撸！！,https://mp.weixin.qq.com/s/TF1q1YTrpAwGHFfcD2T46Q,1
最新消息，99%程序员心爱的开发神器......,https://mp.weixin.qq.com/s/GU5kQPZl85Q-hy8hN0opBw,1
送一台闲置显示器，限时删！,https://mp.weixin.qq.com/s/1GwWpXyemCrwWvMv8o4-wg,1
风向变了！本科的程序员也是说裁就裁。。。,https://mp.weixin.qq.com/s/eGjZ8ka3LVakunC394uejA,1
学妹进字节啦~,https://mp.weixin.qq.com/s/GLo6hs2infzxynN64MjyIQ,0
农科院研发的银耳，高分纪录片都在推荐（送试吃，不满意包退）,https://mp.weixin.qq.com/s/sZsEpgSjSFcWjnCPJn3_kQ,0
湿气让你又胖又丑，别再只喝中药了！一颗薏湿糕，胜过8碗养生汤,https://mp.weixin.qq.com/s/bjVh423VCi0l_J6PhxURSA,0
耗时9年，她做出了中国女人戴起来醉美的首饰,https://mp.weixin.qq.com/s/qubJz5S21cFEH8J6FJM1Bg,0
【包揽整个夏天】福袋 | 暑期儿童夏装盲盒福袋开抢，内含11件超值产品！手速抢！,https://mp.weixin.qq.com/s/XZ2TUl81arV-f52TBFT6Yw,0
好用推荐| 2折买到3000元的戴森同款吹风机！三分钟吹干长发，掉发都越来越少了！！,https://mp.weixin.qq.com/s/BCT6hZ86zfHc_mPUx7K2kQ,0
不输神仙水，推荐三年的国货精华水，囤再多都不够.....,https://mp.weixin.qq.com/s/PwwFddg37fdRcdLdiyrW2w,0
张大千鉴藏标准器宝库首次问世！900件代表作、33场生前亲定个展、横跨半个世纪，画展活动资料全覆盖！限量珍藏！,https://mp.weixin.qq.com/s/j6DY_sNX6UNe-BQs_Taz1A,0
